Disciplina;;Codigo;;Natureza;;Tempo;;Prerequisito;;Corequisito;;Presencial;;HorasSemestrais;;PD;;LB;;CP;;ES;;OR;;Semanal;;Ementa;;BibliografiaBasica;;BibliografiaCompementar
Sistemas de Geo-Localização baseados em Satélites;;TE271;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Breve histórico do posicionamento global. Conceituação do Sistema GPS. Princípio deobservação. Planejamento das observações. Tipos de posicionamento. Classificação doslevantamentos. Recomendações. Estado atual da rede de pontos de apoio aos levantamentos:nacional, estadual e local. Processamento das observações. Transformações de coordenadase de sistemas: WGS-84, SAD-69 e UTM. Cálculo e medição da posição de sistemas decomunicação e energia na superfície terrestre. Sistemas de radar e navegação.;;<nada>;;<nada>
Tópicos Avançados em Telecomunicações I;;TE272;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Palestras sobre temas avançados, a cargo de professores do curso e/ou convidados.;;<nada>;;<nada>
Tópicos Avançados em Telecomunicações II;;TE273;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Palestras sobre temas avançados, a cargo de professores do curso e/ou convidados.;;<nada>;;<nada>
Tópicos Avançados em Eletrônica I;;TE274;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Palestras sobre temas avançados, a cargo de professores do curso e/ou convidados.;;<nada>;;<nada>
Tópicos Avançados em Eletrônica II;;TE275;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Palestras sobre temas avançados, a cargo de professores do curso e/ou convidados.;;<nada>;;<nada>
Tópicos Avançados em Eletrônica III;;TE276;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Palestras sobre temas avançados, a cargo de professores do curso e/ou convidados.;;<nada>;;<nada>
Sistemas de Transmissão Fixo-Móvel;;TE277;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Projeto de um sistema de transmissão fixo-móvel: Rádio-enlace em visibilidade utilizandoondas de rádio; Planos de freqüências; entroncamento óptico.;;<nada>;;<nada>
Medidas Elétricas em Altas Freqüências;;TE278;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Casamento de Impedâncias. Reflexão de Sinais. Ruídos em Altas Freqüências. Medidas noDomínio do Tempo. Técnicas de Medição em Altas Freqüências.;;<nada>;;<nada>
Síntese de Filtros Eletrônicos;;TE279;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Aproximações. Filtros Passivos. Filtros Ativos. Outros Tipos de Filtros.;;<nada>;;<nada>
Processamento Óptico de Sinais;;TE280;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Sistemas ópticos lineares bidimensionais: fundamentos teóricos, convolução, correlação etransformadas de Fourier e de Fresnel bidimensionais. Teoria de difração: formulações deKirchoff, Rayleigh ? Sommerfeld e Fresnel. Difração acusto ? óptica: células Bragg isotrópicae anisotrópica. Analise de lentes delgadas: transformada de Fourier espacial e formação deimagem. Moduladores e filtros ópticos espaciais. Analisador de espectro e correladoresacusto-ópticos. Aplicações de processamento óptico de sinais: processamento radar ereconhecimento de padrões. Fundamentos de holografia.;;<nada>;;<nada>
Estágio Supervisionado I;;TE291;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;120 h;;120;;00;;00;;00;;00;;08 h;;Estágio em empresa, sob supervisão indireta de Professor do Curso.;;<nada>;;<nada>
Estágio Supervisionado II;;TE292;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;120 h;;120;;00;;00;;00;;00;;08 h;;Estágio em empresa, sob supervisão indireta de Professor do Curso.;;<nada>;;<nada>
Projeto Integrado I;;TE504;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Projeto individual dos alunos, realizado sob supervisão docente direta, com o objetivo deintegrar os conhecimentos obtidos nas disciplinas cursadas até o momento.;;<nada>;;<nada>
Projeto Integrado II;;TE505;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;120 h;;120;;00;;00;;00;;00;;08 h;;Projeto individual dos alunos, realizado sob supervisão docente direta, com o objetivo deintegrar os conhecimentos obtidos nas disciplinas cursadas até o momento.;;<nada>;;<nada>
Prática de Docência;;TE739;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;45 h;;45;;00;;00;;00;;00;;03 h;;Prática de docência em disciplinas do curso de Graduação em Engenharia Elétrica, supervisionada por um professor orientador.;;<nada>;;<nada>
Eletrodinâmica;;TE801;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução. Equações de Maxwell e Leis de Conservação. Ondas Eletromagnéticas, Propagação e Modelagem de Meios Materiais. Guias deOndas e Cavidades Ressonantes. Mecanismos de Radiação: Potenciais de Liènard-Wiechert para Cargas Aceleradas, Antenas Dipolo Elétrico e DipoloMagnético. Teoria do Espalhamento e Difração. Relatividade Restrita e Covariância das Equações de Maxwell.;;<nada>;;<nada>
Processos Estocásticos em Engenharia;;TE802;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução. Problemas, espaço de problemas e busca. Representação do conhecimento. Raciocínio e inferência. Aprendizagem. Redes Neurais Artificiais. Sistemas Nebulosos. Algoritmos genéticos.;;<nada>;;<nada>
Inteligência Artificial Aplicada;;TE803;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Equação de Poisson, estímulo e resposta, condições de contorno, funções de base, método de Galerkin, segmentação e coordenadasbaricêntricas, funções nodais unidimensionais e convergência. Equação de Laplace, concições de contorno, triangularização e coordenadasbaricêntricas, funções nodais bidimensionais, método de Galerkin e convergência. Equação de Helmholtz, condições de contorno, malhatetraédrica e coordenadas baricêntricas, funções de aresta, método de Galerkin, método de Newmark e convergência.;;<nada>;;<nada>
Eletrodinâmica Computacional;;TE804;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;O conhecimento científico, Métodos e técnicas de pesquisa, Tipos de pesquisa, Elaboração e comunicação da pesquisa, Fontes de fomento à pesquisa, Introdução aos métodos computacionais, Manipulação de matrizes, Programação avançada no MATLAB, Gráficos bidimensionais e tridimensionais, Matrizes Esparsas, Matrizes Celulares e Estruturas, Interfaces Gráficas de Usuário, Splines Cúbicas, Análise de Fourier e Otimização.;;<nada>;;<nada>
Metodologia Científica e Ferramentas Computacionais;;TE805;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;O conhecimento científico, Métodos e técnicas de pesquisa, Tipos de pesquisa, Elaboração e comunicação da pesquisa, Fontes de fomento à pesquisa, Introdução aos métodos computacionais, Manipulação de matrizes, Programação avançada no MATLAB, Gráficos bidimensionais e tridimensionais, Matrizes Esparsas, Matrizes Celulares e Estruturas, Interfaces Gráficas de Usuário, Splines Cúbicas, Análise de Fourier e Otimização.;;<nada>;;<nada>
Estatística Aplicada à Engenharia;;TE806;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Planejamento da coleta de dados pesquisa e dados; Técnicas de amostragem; Descrição e exploração de dados dados categorizados e quantitativos; Medidas descritivas; Modelos de probabilísticos; Distribuições contínuas e discretas; Inferência estatística estimação de parâmetros, testes estatísticos de hipóteses, testes de comparação entre amostras; Relação entre variáveis análise de dados categorizados, correlação e regressão.;;<nada>;;<nada>
Integridade de Sinais Elétricos;;TE808;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Modelos de parâmetros concentrados de componentes de circuito. Modelos de parâmetros distribuídos. Problemas associados à alimentação de circuitos. Problemas associados ao acoplamento entre condutores. Problemas associados à interferência eletromagnética. Modelagem e simulação.;;<nada>;;<nada>
Processamento Digital de Sinais I;;TE810;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução ao processamento digital de sinais. Histórico. Sinais e sistemas discretos. Definições. Propriedades. Convolução. SistemasLTI. Representação no domínio da freqüência. Série de Fourier Discreta. Transformada de Fourier para Sinais Discretos. Efeitos da amostragem.Interpolação e Decimação. Amostragem periódica. Efeito do número finito de bits. Aritmética de ponto fixo e ponto flutuante. Reconstrução.Mudança da taxa de amostragem. Transformada Z. Definição. Propriedades. Teorema de Parseval. Transformada discreta de Fourier. FFT. Fundamento teórico. Convolução linear. Algoritmos . Efeitos da precisão finita. Filtragem digital. Conceitos básicos. Estruturas de implementação. Mapeamentos S para Z. Projeto de Filtros IIR. Janelamento. Projeto de Filtros FIR. Efeito da quantização. Análise Espectral. Espectro de Potência. Autocorrelação. Estimação espectral. Transformada de Fourier Dependente do Tempo. Espectrograma.;;<nada>;;<nada>
Técnicas de Codificação de Sinais;;TE811;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução a Teoria da Informação. Codificação sem perdas. Codificação com perdas. Códigos para Controle de Erros.;;<nada>;;<nada>
Códigos Corretores de Erro;;TE812;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução. Teorema de Codificação de Canal. Desempenho de Erro de Sistemas de Comunicações Digitais. Introdução à Álgebra. Corpos de Galois. Códigos de Bloco Lineares. Códigos Cíclicos. Códigos de Hamming. Códigos BCH e Códigos de Reed-Solomon. Metodologia para a Simulação de Sistemas de Comunicações Digitais que utilizam Codificação de Canal. Códigos Convolucionais. Decodificação por Máxima Verosimilhança de Códigos Convolucionais: o Algoritmo de Viterbi. Códigos Concatenados. Modulação Codificada. Turbo Códigos. Códigos LDPC.;;<nada>;;<nada>
Rádio Propagação;;TE813;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Equações de Maxwell. Equação de Ondas. Funções Características de Propagação em vários Meios. Modulação e demodulação de um sinal eletromagnético. Modelos de Propagação. Aplicação dos Modelos aos Centros Urbanos e Rurais. Interferências co-canal e adjacentes. Projeto de Redes Móveis celulares.;;<nada>;;<nada>
Redes de Comunicação de Dados;;TE815;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução. Propagação da Luz em Fibras Ópticas. Dispositivos Ópticos: Filtros e Acopladores Ópticos. Dispositivos Fotônicos: Amplificadores Ópticos, Lasers e Fotodetectores. Sistemas de Comunicação Óptica. Não Linearidades.;;<nada>;;<nada>
Modelagem e Avaliação de Desempenho de Sistemas de Comunicação;;TE816;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Abordagens para avaliação de desempenho de sistemas. Probabilidade e estatística aplicadas à avaliação de desempenho. Processos estocásticos. Cadeias de Markov. Sistemas básicos de filas. Lei de Little. Modelo de filas: M/M/1, M/M/n, M/G/1. Séries Temporais: AR, MA, ARMA, ARIMA. Modelos auto-similares, parâmetro de hurst e LRD. Simulação de sistemas: técnicas de implementação e análise.;;<nada>;;<nada>
Visão Computacional;;TE817;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução. Aquisição da imagem. Processamento da imagem. Análise da imagem.;;<nada>;;<nada>
Projeto de Circuitos Integrados de Rádio Freqüência;;TE820;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Modelo do MOSFET. Conceitos básicos no projeto de circuitos RF. Arquiteturas de transmissores e receptores. Elementos passivos em CI.Carta de Smith e parâmetros S. Casamento de impedância. Circuitos de polarização. Ruído. Amplificadores de baixo ruído. Amplificadores depotência. Osciladores.;;<nada>;;<nada>
Instrumentação Eletrônica Avançada;;TE821;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Instrumentos de medidas elétricas. Medidas no domínio do tempo. Medidas no domínio da frequência. Acoplamento entre instrumento emedida. Tratamento de ruído em medidas. Técnicas de medição em altas frequências.;;<nada>;;<nada>
Inteligência em Instrumentação Eletrônica;;TE822;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução; A idéia do padrão de software aberto; Protocolos de comunicação HART, HART On, PROFIBUS DP, FIELDBUS FOUNDATION; Tecnologia FDTField Device Tool / DTMDevice Type Manager; DTM como Gerenciador de Dispositivos; Frame FDT e DTM como Gerenciador de Comunicações;;<nada>;;<nada>
Projetos de Circuitos Integrados Analógicos;;TE823;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Tecnologia CMOS Processo de fabricação, Componentes passivos; Regras de Layout; Modelagem do transistor MOS Estrutura física do transistor MOS; Estrutura MOS de dois terminais capacitor MOS; Estrutura MOS de quatro terminais; Modelo da corrente de dreno; Modelo de cargas; Modelo de pequenos sinais; Ruído; Descasamento; Circuitos analógicos CMOS básicos Chaves MOS; Espelhos de corrente; Referências de tensão e de corrente; Amplificadores CMOSAmplificadores de estágio único; Amplificadores operacionais; Introdução a Sistemas Integrados.;;<nada>;;<nada>
Técnicas de Controle Preditivo baseado em Modelo;;TE825;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;Conceitos preliminares, Modelos de previsão usando estrutura ARMAX e BFO, Critérios de custo baseados em norma 2 e infinito, Casos clássicos DMC, GPC e CRHPC, Análise de estabilidade do sistema em malha fechada, Tratamento de restrições nos sinais de controle/saída, Controle preditivo robusto caso com LMI, Controle preditivo não-linear com modelos Volterra, Controle preditivo híbrido, Controle preditivo multivariável.;;<nada>;;<nada>
Aprendizagem de Máquina;;TE826;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução. Extração de Características. Árvores de Decisão. Aprendizagem Baseada em Instâncias. Aprendizagem Bayesiana. Redes Neurais Artificiais. Máquinas de Vetor de Suporte. Tópicos Avançados em Aprendizagem de Máquina. Projeto de Sistemas Inteligentes;;<nada>;;<nada>
Análise e Operação de Sistemas Elétricos de Potência;;TE830;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Fundamentos de análise de sistemas de potência. Formulação do problema de fluxo de potênciaPFP. Modelagem de transformadores emfase e defasadores no PFP. Método Linearizado de solução do PFP-FPCC. Incorporação de transformadores defasadores no FPCC. Fluxo depotência via método de Newton-Raphson. Fluxo de Potência desacoplado e desacoplado rápido. Controle e limites. Esparsidade. Introdução aoproblema de otimização e despacho econômico. Introdução à estimação de estados.;;<nada>;;<nada>
Técnicas de Otimização Aplicadas à Operação de Sistemas Elétricos de Potência;;TE831;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução: objetivos do planejamento da operação, subdivisões do problema. Fundamentos Teóricos de Otimização Estática condições de otimalidade de 1a ordem e 2a ordem, multiplicadores de Lagrange, condições de suficiência, restrições de desigualdade. Método de Newton fundamentos teóricos, modelos conceituais, minimização com restrições de igualdade, determinação do conjunto de restrições ativas, teste de convergência. Método dos Pontos Interiores conceitos básicos, variáveis primais e duais, tratamento das restrições de desigualdade, gap de dualidade, função de penalidade logarítmica. Fluxo de Potência Ótimo aspectos gerais, aplicações, representação, modelagem, solução. Programação Hidrotérmica. Análise de Sensibilidade. Reestruturação do Setor. Estudo de Modelos Competitivos modelagem de transações, alocação de perdas, fluxos, custos. Serviços Ancilares.;;<nada>;;<nada>
Planejamento e Dinâmica de Sistemas Energéticos;;TE832;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Revisão de conceitos de planejamento energético. A evolução da metodologia de planejamento. Metodologia e modelos de planejamento. O processo de planejamento no novo modelo do setor elétrico. Dinâmica de sistemas aplicada ao planejamento de sistemas elétricos. Estudo de casos.;;<nada>;;<nada>
Dissertação;;TE840;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;O Projeto de Dissertação deve ser entregue na secretaria do PPGEE no período de matrículas, devendo estar assinado pelo estudante e por seu orientador, caso contrário, a matrícula não será efetivada e será considerado abandono de curso.;;<nada>;;<nada>
Fenômenos de Transporte na Engenharia Elétrica;;TH014;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução aos Fenômenos de Transporte. Condução de Calor em RegimeEstacionário e Transiente. Troca de Calor por Convecção. Troca de Calor porRadiação. Trocadores de Calor. Aplicações em Eletrônica Dissipadores;Introdução ao Escoamento de Fluidos. Introdução à Medição de PropriedadesFísicas dos Fluidos. Escoamento ao Redor de Corpos Imersos. Covecção Naturale Forçada. Introdução à Transferência de Massa. Lei de Fick. Difusão emSólidos, Líquidos e Gases.;;<nada>;;<nada>
Ciência dos Materiais;;TQ028;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Estrutura eletrônica dos átomos. Propriedades periódicas dos elementos. Ligação química. Íons emoléculas. Polímeros. Propriedades gerais dos materiais como conseqüência de sua estruturacristalina e tipo de ligação química. Noções de Eletroquímica. Potencial de eletrodo. Pilhaseletroquímicas. Eletrodeposição de metais. Noções sobre Corrosão de materiais metálicos.Passividade dos metais. Proteção contra corrosão; tintas e noções de proteção catódica. Princípiosda estrutura e defeitos cristalinos aplicados a materiais metálicos. Curvas de tensões edeformações dos materiais. Estrutura interna dos materiais: sistemas cristalinos e não cristalinos.Defeitos e imperfeições. Discordâncias e grãos cristalinos. Transformações nos materiais sólidos.Deformações nos materiais monofásicos e polifásicos. Propriedades mecânicas dos materiaisatravés de ensaios de tração/compressão, flexão, dureza, impacto e fadiga. Comportamentomecânico dos materiais em altas temperaturas. Comportamentos elástico e plástico.Transformações de fases nos materiais: tratamento térmico e mudanças nas propriedadesmecânicas dos materiais. Nomenclatura dos materiais. Mecânica da fratura. Noções deMetalografia. Noções de Análise química. Ensaios não-destrutivos.;;<nada>;;<nada>
Administração e Organização de Empresas de Engenharia I;;TT008;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;O que é Administração. Importância para a carreira do Engenheiro.Desenvolvimento das teorias da Administração. Funções administrativasclássicas: planejamento, organização, direção e controle. Característicaspessoais doa administradora. Suprimentos. Contabilidade. ComportamentoOrganizacional. A empresa e seu ambiente. Funções empresariais clássicas:marketing, produção, finanças e recursos humanos. O processo de criação eadministração de uma empresa. Legislação Profissional ? estruturas do capitaldas empresas.;;<nada>;;<nada>
